place_name,rating,review_text,published_at_date,is_local_guide,have_responded,visited_on,wait_time,reservation_recommended
Thredbo,5.0,Loved our days experience at Thredbo.  Took the Cooma Coaches shuttle bus up there from Jindy. Highly recommended,2025-08-30 05:01:20,1,0,,,
Thredbo,1.0,"Been coming here for years, staff have become rude and snobby. Doesn't matter how much snow they'll take your money no problem but",2025-08-30 01:19:21,0,0,,,
Thredbo,5.0,,2025-08-29 12:18:15,0,0,,,
Thredbo,5.0,,2025-08-29 04:46:27,1,0,,,
Thredbo,4.0,,2025-08-27 12:16:21,1,0,,,
Thredbo,2.0,,2025-08-27 11:34:04,1,0,,,
Thredbo,4.0,Had fun filled weekend with my Grand Daughter & her family ,2025-08-24 05:15:34,1,0,,,
Thredbo,5.0,,2025-08-27 05:09:59,1,0,,,
Thredbo,5.0,,2025-08-26 09:11:31,0,0,,,
Thredbo,5.0,AMAZING,2025-08-25 03:26:33,0,0,,,
Thredbo,5.0,,2025-08-24 07:59:26,1,0,,,
Thredbo,5.0,,2025-08-24 02:19:02,0,0,,,
Thredbo,5.0,"Great for learner, intermediate to advance ski. No toboggan area for kids. Beautiful scenery and local stays.",2025-08-24 01:18:30,0,0,,,
Thredbo,3.0,"Accommodation is pricey but mostly good and requires advance booking during the ski season. We had a nice little appartment with views of the ski slopes - thoughtfully assembled.

The local pool is great for those not in the ski slopes.

Service across the resort is erratic.  People from local region who regularly work at the resort, like the bus drivers,  are lovely and helpful.  But there are lots of 'itinerant' workers, esp in the cafes and restaurants, who are poorly trained and disinterested. The large american (?) woman manning the information centre  warrants special mention. She had her feet planted on the counter, her eyes firmly on her phone, as she dealt with our query about possible luggage storage with abrupt one word responses. In the scheme of things, these may not be deal breakers during a good snow season but it does colour your view of Thredbo as a supposedly upmarket ski resort and makes alternative ski destinations more attractive.",2025-08-23 22:59:04,1,0,,,
Thredbo,5.0,,2025-08-23 10:10:20,1,0,,,
Thredbo,5.0,,2025-08-23 06:53:21,1,0,,,
Thredbo,5.0,,2025-08-23 00:00:49,1,0,,,
Thredbo,5.0,,2025-08-21 09:06:04,0,0,,,
Thredbo,5.0,,2025-08-21 03:40:49,0,0,,,
Thredbo,3.0,"Start off by saying an amazing place, best place to ski in Australia by far, buller and hotham with good snow a distant second. Length of runs, height run quality all 5 out of 5.
Service probably to be expected with mine and the latest generations, maybe if we communicated with screens it would be better, the number of times we haven't been acknowledged, from cafes to lifties, just ignore your customers, no eye contact or banter, so weird when it should come so easily in this environment, and used to.
My gripe, again this is generational, all the advertising, seeing other countries you'd think we'd treat such a pristine location with more respect, rubbish everywhere, it's embarrassing and a blight on us as a society that we could just dump litter everywhere....
Will come back, please address this before it gets any worse",2025-08-21 01:10:07,0,0,,,
Thredbo,5.0,,2025-08-21 01:02:25,0,0,,,
Thredbo,5.0,Thredbo  Alipne the best!,2025-08-18 23:19:28,0,0,,,
Thredbo,4.0,Impeccable treatment and 1000 points,2025-08-18 09:31:39,0,0,,,
